% Time (s), Channel A (Input 1) (V), Channel B (Input 2) (V)
-1.40E-01,2.20E-02,1.95E-02
-1.40E-01,2.32E-02,1.95E-02
-1.40E-01,2.08E-02,2.08E-02
-1.40E-01,2.08E-02,1.95E-02
-1.39E-01,2.20E-02,2.20E-02
-1.39E-01,2.32E-02,1.95E-02
-1.39E-01,2.44E-02,1.95E-02
-1.39E-01,2.32E-02,2.08E-02
-1.38E-01,2.44E-02,2.08E-02
-1.38E-01,2.20E-02,1.95E-02
-1.38E-01,2.32E-02,2.08E-02
-1.37E-01,2.32E-02,2.08E-02
-1.37E-01,2.32E-02,1.95E-02
-1.37E-01,2.20E-02,2.20E-02
-1.37E-01,2.44E-02,1.83E-02
-1.36E-01,2.20E-02,2.08E-02
-1.36E-01,2.32E-02,2.20E-02
-1.36E-01,2.20E-02,2.08E-02
-1.36E-01,2.32E-02,1.95E-02
-1.35E-01,2.32E-02,1.59E-02
-1.35E-01,2.20E-02,2.20E-02
-1.35E-01,2.32E-02,2.20E-02
-1.34E-01,2.32E-02,2.08E-02
-1.34E-01,2.44E-02,1.95E-02
-1.34E-01,2.44E-02,1.71E-02
-1.34E-01,2.32E-02,1.59E-02
-1.33E-01,2.32E-02,1.83E-02
-1.33E-01,2.32E-02,2.20E-02
-1.33E-01,2.32E-02,2.32E-02
-1.32E-01,2.32E-02,1.83E-02
-1.32E-01,2.44E-02,2.20E-02
-1.32E-01,2.32E-02,1.95E-02
-1.32E-01,2.32E-02,1.95E-02
-1.31E-01,2.32E-02,2.08E-02
-1.31E-01,2.32E-02,2.08E-02
-1.31E-01,2.44E-02,1.95E-02
-1.31E-01,2.32E-02,2.93E-02
-1.30E-01,2.32E-02,2.08E-02
-1.30E-01,2.32E-02,1.95E-02
-1.30E-01,2.20E-02,1.95E-02
-1.29E-01,2.44E-02,1.95E-02
-1.29E-01,2.32E-02,1.95E-02
-1.29E-01,2.44E-02,2.08E-02
-1.29E-01,2.44E-02,2.20E-02
-1.28E-01,2.32E-02,2.08E-02
-1.28E-01,2.32E-02,2.08E-02
-1.28E-01,2.44E-02,2.08E-02
-1.28E-01,2.32E-02,1.95E-02
-1.27E-01,2.32E-02,2.08E-02
-1.27E-01,2.32E-02,2.20E-02
-1.27E-01,2.08E-02,2.08E-02
-1.26E-01,2.32E-02,1.83E-02
-1.26E-01,2.20E-02,2.32E-02
-1.26E-01,2.20E-02,1.95E-02
-1.26E-01,2.32E-02,2.08E-02
-1.25E-01,2.20E-02,1.95E-02
-1.25E-01,2.20E-02,1.71E-02
-1.25E-01,2.08E-02,1.95E-02
-1.24E-01,2.20E-02,2.08E-02
-1.24E-01,2.32E-02,1.95E-02
-1.24E-01,2.44E-02,2.44E-02
-1.24E-01,2.20E-02,1.95E-02
-1.23E-01,2.44E-02,1.95E-02
-1.23E-01,2.44E-02,1.95E-02
-1.23E-01,2.32E-02,1.95E-02
-1.23E-01,2.44E-02,1.95E-02
-1.22E-01,2.32E-02,2.20E-02
-1.22E-01,2.44E-02,2.08E-02
-1.22E-01,2.32E-02,2.08E-02
-1.21E-01,2.32E-02,2.08E-02
-1.21E-01,2.32E-02,1.83E-02
-1.21E-01,2.32E-02,1.47E-02
-1.21E-01,2.32E-02,2.08E-02
-1.20E-01,2.32E-02,2.20E-02
-1.20E-01,2.32E-02,1.95E-02
-1.20E-01,2.32E-02,2.08E-02
-1.20E-01,2.32E-02,2.20E-02
-1.19E-01,2.44E-02,1.95E-02
-1.19E-01,2.32E-02,1.95E-02
-1.19E-01,2.44E-02,1.95E-02
-1.18E-01,2.32E-02,2.08E-02
-1.18E-01,2.20E-02,2.08E-02
-1.18E-01,2.20E-02,1.95E-02
-1.18E-01,2.32E-02,1.95E-02
-1.17E-01,2.32E-02,1.95E-02
-1.17E-01,2.32E-02,2.08E-02
-1.17E-01,2.32E-02,1.71E-02
-1.16E-01,2.32E-02,1.83E-02
-1.16E-01,2.44E-02,2.93E-02
-1.16E-01,2.32E-02,2.20E-02
-1.16E-01,2.32E-02,2.08E-02
-1.15E-01,2.44E-02,2.08E-02
-1.15E-01,2.44E-02,1.95E-02
-1.15E-01,2.44E-02,2.08E-02
-1.15E-01,2.44E-02,1.95E-02
-1.14E-01,2.32E-02,2.08E-02
-1.14E-01,2.44E-02,1.95E-02
-1.14E-01,2.44E-02,1.95E-02
-1.13E-01,2.32E-02,2.56E-02
-1.13E-01,2.32E-02,1.83E-02
-1.13E-01,2.44E-02,1.95E-02
-1.13E-01,2.32E-02,1.83E-02
-1.12E-01,2.56E-02,1.68E+00
-1.12E-01,2.56E-02,3.33E+00
-1.12E-01,2.44E-02,3.33E+00
-1.12E-01,2.44E-02,3.33E+00
-1.11E-01,2.44E-02,3.33E+00
-1.11E-01,2.44E-02,3.33E+00
-1.11E-01,2.44E-02,3.33E+00
-1.10E-01,2.44E-02,3.33E+00
-1.10E-01,2.44E-02,3.32E+00
-1.10E-01,2.44E-02,3.33E+00
-1.10E-01,2.32E-02,3.33E+00
-1.09E-01,2.44E-02,3.33E+00
-1.09E-01,2.44E-02,3.32E+00
-1.09E-01,2.32E-02,3.33E+00
-1.09E-01,2.44E-02,3.33E+00
-1.08E-01,2.56E-02,3.33E+00
-1.08E-01,2.69E-02,3.33E+00
-1.08E-01,2.56E-02,3.33E+00
-1.07E-01,2.56E-02,3.33E+00
-1.07E-01,2.44E-02,3.33E+00
-1.07E-01,2.44E-02,3.33E+00
-1.07E-01,2.56E-02,3.33E+00
-1.06E-01,2.81E-02,3.33E+00
-1.06E-01,2.56E-02,3.33E+00
-1.06E-01,2.56E-02,3.33E+00
-1.05E-01,2.56E-02,3.33E+00
-1.05E-01,2.56E-02,3.33E+00
-1.05E-01,2.32E-02,3.33E+00
-1.05E-01,2.44E-02,3.33E+00
-1.04E-01,2.44E-02,3.33E+00
-1.04E-01,2.44E-02,3.33E+00
-1.04E-01,2.44E-02,3.33E+00
-1.04E-01,2.32E-02,3.33E+00
-1.03E-01,2.44E-02,3.33E+00
-1.03E-01,2.32E-02,3.33E+00
-1.03E-01,2.32E-02,3.33E+00
-1.02E-01,2.56E-02,3.33E+00
-1.02E-01,2.56E-02,3.33E+00
-1.02E-01,2.32E-02,3.33E+00
-1.02E-01,2.44E-02,3.33E+00
-1.01E-01,2.44E-02,3.33E+00
-1.01E-01,2.44E-02,3.33E+00
-1.01E-01,2.56E-02,3.32E+00
-1.01E-01,2.56E-02,3.33E+00
-1.00E-01,2.56E-02,3.33E+00
-1.00E-01,2.44E-02,3.33E+00
-9.97E-02,2.44E-02,3.33E+00
-9.94E-02,2.44E-02,3.32E+00
-9.91E-02,2.69E-02,3.33E+00
-9.89E-02,2.81E-02,3.33E+00
-9.86E-02,2.69E-02,3.33E+00
-9.83E-02,2.56E-02,3.33E+00
-9.80E-02,2.56E-02,3.33E+00
-9.78E-02,2.81E-02,3.33E+00
-9.75E-02,2.56E-02,3.33E+00
-9.72E-02,2.44E-02,3.33E+00
-9.69E-02,2.44E-02,3.33E+00
-9.67E-02,2.32E-02,3.33E+00
-9.64E-02,2.44E-02,3.33E+00
-9.61E-02,2.44E-02,3.33E+00
-9.58E-02,2.44E-02,3.33E+00
-9.56E-02,2.44E-02,3.33E+00
-9.53E-02,2.32E-02,3.33E+00
-9.50E-02,2.56E-02,3.33E+00
-9.47E-02,2.44E-02,3.33E+00
-9.45E-02,2.56E-02,3.33E+00
-9.42E-02,2.56E-02,3.33E+00
-9.39E-02,2.56E-02,3.33E+00
-9.36E-02,2.56E-02,3.33E+00
-9.34E-02,2.69E-02,3.33E+00
-9.31E-02,2.69E-02,3.33E+00
-9.28E-02,2.56E-02,3.32E+00
-9.25E-02,2.81E-02,3.33E+00
-9.23E-02,2.69E-02,3.33E+00
-9.20E-02,2.69E-02,3.33E+00
-9.17E-02,2.69E-02,3.33E+00
-9.14E-02,2.56E-02,3.33E+00
-9.12E-02,2.81E-02,3.33E+00
-9.09E-02,2.56E-02,3.33E+00
-9.06E-02,2.69E-02,3.33E+00
-9.03E-02,2.56E-02,3.33E+00
-9.01E-02,2.44E-02,3.33E+00
-8.98E-02,2.44E-02,3.33E+00
-8.95E-02,2.56E-02,3.33E+00
-8.92E-02,2.56E-02,3.33E+00
-8.90E-02,2.56E-02,3.33E+00
-8.87E-02,2.44E-02,3.33E+00
-8.84E-02,2.56E-02,3.33E+00
-8.81E-02,2.56E-02,3.33E+00
-8.79E-02,2.69E-02,3.33E+00
-8.76E-02,2.44E-02,3.33E+00
-8.73E-02,2.56E-02,3.33E+00
-8.70E-02,2.56E-02,3.34E+00
-8.68E-02,2.44E-02,3.33E+00
-8.65E-02,2.44E-02,3.33E+00
-8.62E-02,2.56E-02,3.33E+00
-8.59E-02,2.56E-02,3.33E+00
-8.57E-02,2.44E-02,3.33E+00
-8.54E-02,2.69E-02,3.33E+00
-8.51E-02,2.56E-02,3.33E+00
-8.48E-02,2.56E-02,3.33E+00
-8.46E-02,2.56E-02,3.33E+00
-8.43E-02,2.44E-02,3.33E+00
-8.40E-02,2.44E-02,3.33E+00
-8.37E-02,2.56E-02,3.33E+00
-8.34E-02,2.44E-02,3.33E+00
-8.32E-02,2.69E-02,3.33E+00
-8.29E-02,2.81E-02,3.33E+00
-8.26E-02,2.56E-02,3.33E+00
-8.23E-02,2.44E-02,3.33E+00
-8.21E-02,2.56E-02,3.33E+00
-8.18E-02,2.44E-02,3.34E+00
-8.15E-02,2.44E-02,3.33E+00
-8.12E-02,2.69E-02,3.33E+00
-8.10E-02,2.56E-02,3.33E+00
-8.07E-02,2.56E-02,3.33E+00
-8.04E-02,2.56E-02,3.33E+00
-8.01E-02,2.56E-02,3.33E+00
-7.99E-02,2.56E-02,3.33E+00
-7.96E-02,2.56E-02,3.33E+00
-7.93E-02,2.56E-02,3.33E+00
-7.90E-02,2.44E-02,3.33E+00
-7.88E-02,2.56E-02,3.33E+00
-7.85E-02,2.69E-02,3.33E+00
-7.82E-02,2.69E-02,3.33E+00
-7.79E-02,2.56E-02,3.33E+00
-7.77E-02,2.69E-02,3.33E+00
-7.74E-02,2.56E-02,3.33E+00
-7.71E-02,2.69E-02,3.32E+00
-7.68E-02,2.56E-02,3.33E+00
-7.66E-02,2.56E-02,3.33E+00
-7.63E-02,2.56E-02,3.33E+00
-7.60E-02,2.56E-02,3.33E+00
-7.57E-02,2.56E-02,3.33E+00
-7.55E-02,2.44E-02,3.33E+00
-7.52E-02,2.44E-02,3.33E+00
-7.49E-02,2.32E-02,3.33E+00
-7.46E-02,2.44E-02,3.33E+00
-7.44E-02,2.44E-02,3.33E+00
-7.41E-02,2.69E-02,3.33E+00
-7.38E-02,2.56E-02,3.33E+00
-7.35E-02,2.56E-02,3.33E+00
-7.33E-02,2.44E-02,3.33E+00
-7.30E-02,2.44E-02,3.33E+00
-7.27E-02,2.56E-02,3.33E+00
-7.24E-02,2.56E-02,3.33E+00
-7.22E-02,2.44E-02,3.33E+00
-7.19E-02,2.56E-02,3.33E+00
-7.16E-02,2.56E-02,3.33E+00
-7.13E-02,2.56E-02,3.33E+00
-7.11E-02,2.56E-02,3.33E+00
-7.08E-02,2.56E-02,3.33E+00
-7.05E-02,2.44E-02,3.33E+00
-7.02E-02,2.56E-02,3.33E+00
-7.00E-02,2.56E-02,3.33E+00
-6.97E-02,2.44E-02,3.33E+00
-6.94E-02,2.56E-02,3.33E+00
-6.91E-02,2.69E-02,3.33E+00
-6.89E-02,2.56E-02,3.33E+00
-6.86E-02,2.56E-02,3.32E+00
-6.83E-02,2.56E-02,3.33E+00
-6.80E-02,2.69E-02,3.33E+00
-6.78E-02,2.69E-02,3.33E+00
-6.75E-02,2.69E-02,3.33E+00
-6.72E-02,2.56E-02,3.33E+00
-6.69E-02,2.44E-02,3.33E+00
-6.66E-02,2.69E-02,3.33E+00
-6.64E-02,2.56E-02,3.32E+00
-6.61E-02,2.44E-02,3.33E+00
-6.58E-02,2.56E-02,3.33E+00
-6.55E-02,2.56E-02,3.33E+00
-6.53E-02,2.56E-02,3.33E+00
-6.50E-02,2.56E-02,3.33E+00
-6.47E-02,2.56E-02,3.33E+00
-6.44E-02,2.56E-02,3.33E+00
-6.42E-02,2.56E-02,3.33E+00
-6.39E-02,2.69E-02,3.33E+00
-6.36E-02,2.69E-02,3.33E+00
-6.33E-02,2.56E-02,3.33E+00
-6.31E-02,2.44E-02,3.33E+00
-6.28E-02,2.56E-02,3.33E+00
-6.25E-02,2.69E-02,3.33E+00
-6.22E-02,2.69E-02,3.33E+00
-6.20E-02,2.56E-02,3.33E+00
-6.17E-02,2.56E-02,3.33E+00
-6.14E-02,2.69E-02,3.33E+00
-6.11E-02,2.69E-02,3.33E+00
-6.09E-02,2.44E-02,3.33E+00
-6.06E-02,2.56E-02,3.33E+00
-6.03E-02,2.56E-02,3.33E+00
-6.00E-02,2.56E-02,3.33E+00
-5.98E-02,2.56E-02,3.33E+00
-5.95E-02,2.56E-02,3.33E+00
-5.92E-02,2.69E-02,3.33E+00
-5.89E-02,2.69E-02,3.33E+00
-5.87E-02,2.56E-02,3.33E+00
-5.84E-02,2.56E-02,3.33E+00
-5.81E-02,2.69E-02,3.33E+00
-5.78E-02,2.69E-02,3.33E+00
-5.76E-02,2.69E-02,3.33E+00
-5.73E-02,2.56E-02,3.33E+00
-5.70E-02,2.56E-02,3.33E+00
-5.67E-02,2.69E-02,3.33E+00
-5.65E-02,2.56E-02,3.33E+00
-5.62E-02,2.44E-02,3.33E+00
-5.59E-02,2.56E-02,3.33E+00
-5.56E-02,2.44E-02,3.33E+00
-5.54E-02,2.69E-02,3.33E+00
-5.51E-02,2.69E-02,3.33E+00
-5.48E-02,2.69E-02,3.33E+00
-5.45E-02,2.56E-02,3.33E+00
-5.43E-02,2.56E-02,3.33E+00
-5.40E-02,2.56E-02,3.33E+00
-5.37E-02,2.56E-02,3.33E+00
-5.34E-02,2.56E-02,3.33E+00
-5.32E-02,2.69E-02,3.33E+00
-5.29E-02,2.56E-02,3.33E+00
-5.26E-02,2.56E-02,3.33E+00
-5.23E-02,2.56E-02,3.33E+00
-5.21E-02,2.56E-02,3.33E+00
-5.18E-02,2.44E-02,3.33E+00
-5.15E-02,2.44E-02,3.33E+00
-5.12E-02,2.56E-02,3.33E+00
-5.10E-02,2.44E-02,3.33E+00
-5.07E-02,2.44E-02,3.33E+00
-5.04E-02,2.56E-02,3.33E+00
-5.01E-02,2.56E-02,3.33E+00
-4.98E-02,2.56E-02,3.33E+00
-4.96E-02,2.56E-02,3.33E+00
-4.93E-02,2.44E-02,3.33E+00
-4.90E-02,2.44E-02,3.33E+00
-4.87E-02,2.56E-02,3.33E+00
-4.85E-02,2.56E-02,3.33E+00
-4.82E-02,2.56E-02,3.33E+00
-4.79E-02,2.44E-02,3.33E+00
-4.76E-02,2.56E-02,3.33E+00
-4.74E-02,2.44E-02,3.33E+00
-4.71E-02,2.44E-02,3.33E+00
-4.68E-02,2.44E-02,3.33E+00
-4.65E-02,2.44E-02,3.33E+00
-4.63E-02,2.56E-02,3.33E+00
-4.60E-02,2.44E-02,3.33E+00
-4.57E-02,2.69E-02,3.33E+00
-4.54E-02,2.56E-02,3.33E+00
-4.52E-02,2.56E-02,3.33E+00
-4.49E-02,2.69E-02,3.33E+00
-4.46E-02,2.56E-02,3.33E+00
-4.43E-02,2.56E-02,3.33E+00
-4.41E-02,2.56E-02,3.33E+00
-4.38E-02,2.81E-02,3.33E+00
-4.35E-02,2.69E-02,3.33E+00
-4.32E-02,2.56E-02,3.33E+00
-4.30E-02,2.56E-02,3.33E+00
-4.27E-02,2.56E-02,3.33E+00
-4.24E-02,2.56E-02,3.33E+00
-4.21E-02,2.56E-02,3.33E+00
-4.19E-02,2.56E-02,3.33E+00
-4.16E-02,2.56E-02,3.33E+00
-4.13E-02,2.69E-02,3.33E+00
-4.10E-02,2.69E-02,3.33E+00
-4.08E-02,2.56E-02,3.33E+00
-4.05E-02,2.56E-02,3.33E+00
-4.02E-02,2.56E-02,3.33E+00
-3.99E-02,2.69E-02,3.33E+00
-3.97E-02,2.69E-02,3.33E+00
-3.94E-02,2.44E-02,3.33E+00
-3.91E-02,2.56E-02,3.33E+00
-3.88E-02,2.69E-02,3.33E+00
-3.86E-02,2.69E-02,3.33E+00
-3.83E-02,2.69E-02,3.33E+00
-3.80E-02,2.56E-02,3.33E+00
-3.77E-02,2.56E-02,3.33E+00
-3.75E-02,2.69E-02,3.33E+00
-3.72E-02,2.56E-02,3.33E+00
-3.69E-02,2.56E-02,3.33E+00
-3.66E-02,2.69E-02,3.33E+00
-3.64E-02,2.56E-02,3.33E+00
-3.61E-02,2.44E-02,3.33E+00
-3.58E-02,2.44E-02,3.33E+00
-3.55E-02,2.56E-02,3.33E+00
-3.53E-02,2.56E-02,3.33E+00
-3.50E-02,2.56E-02,3.33E+00
-3.47E-02,2.32E-02,3.33E+00
-3.44E-02,2.56E-02,3.33E+00
-3.42E-02,2.44E-02,3.33E+00
-3.39E-02,2.44E-02,3.33E+00
-3.36E-02,2.56E-02,3.33E+00
-3.33E-02,2.69E-02,3.34E+00
-3.30E-02,2.56E-02,3.33E+00
-3.28E-02,2.56E-02,3.33E+00
-3.25E-02,2.56E-02,3.33E+00
-3.22E-02,2.81E-02,3.33E+00
-3.19E-02,2.81E-02,3.33E+00
-3.17E-02,2.69E-02,3.33E+00
-3.14E-02,2.69E-02,3.33E+00
-3.11E-02,2.56E-02,3.33E+00
-3.08E-02,2.56E-02,3.33E+00
-3.06E-02,2.69E-02,3.33E+00
-3.03E-02,2.56E-02,3.33E+00
-3.00E-02,2.32E-02,3.33E+00
-2.97E-02,2.56E-02,3.33E+00
-2.95E-02,2.44E-02,3.33E+00
-2.92E-02,2.44E-02,3.33E+00
-2.89E-02,2.69E-02,3.33E+00
-2.86E-02,2.56E-02,3.33E+00
-2.84E-02,2.56E-02,3.33E+00
-2.81E-02,2.56E-02,3.33E+00
-2.78E-02,2.56E-02,3.33E+00
-2.75E-02,2.69E-02,3.33E+00
-2.73E-02,2.56E-02,3.33E+00
-2.70E-02,2.44E-02,3.33E+00
-2.67E-02,2.56E-02,3.33E+00
-2.64E-02,2.56E-02,3.32E+00
-2.62E-02,2.56E-02,3.33E+00
-2.59E-02,2.44E-02,3.33E+00
-2.56E-02,2.56E-02,3.33E+00
-2.53E-02,2.69E-02,3.33E+00
-2.51E-02,2.81E-02,3.33E+00
-2.48E-02,2.69E-02,3.33E+00
-2.45E-02,2.44E-02,3.33E+00
-2.42E-02,2.56E-02,3.33E+00
-2.40E-02,2.56E-02,3.33E+00
-2.37E-02,2.32E-02,3.33E+00
-2.34E-02,2.44E-02,3.33E+00
-2.31E-02,2.44E-02,3.33E+00
-2.29E-02,2.56E-02,3.33E+00
-2.26E-02,2.56E-02,3.33E+00
-2.23E-02,2.44E-02,3.33E+00
-2.20E-02,2.44E-02,3.33E+00
-2.18E-02,2.44E-02,3.33E+00
-2.15E-02,2.56E-02,3.33E+00
-2.12E-02,2.56E-02,3.33E+00
-2.09E-02,2.56E-02,3.33E+00
-2.07E-02,2.56E-02,3.33E+00
-2.04E-02,2.44E-02,3.33E+00
-2.01E-02,2.44E-02,3.33E+00
-1.98E-02,2.44E-02,3.33E+00
-1.96E-02,2.32E-02,3.33E+00
-1.93E-02,2.44E-02,3.32E+00
-1.90E-02,2.44E-02,3.33E+00
-1.87E-02,2.44E-02,3.33E+00
-1.85E-02,2.56E-02,3.33E+00
-1.82E-02,2.56E-02,3.33E+00
-1.79E-02,2.56E-02,3.33E+00
-1.76E-02,2.69E-02,3.33E+00
-1.74E-02,2.56E-02,3.33E+00
-1.71E-02,2.56E-02,3.33E+00
-1.68E-02,2.44E-02,3.32E+00
-1.65E-02,2.44E-02,3.33E+00
-1.62E-02,2.44E-02,3.33E+00
-1.60E-02,2.44E-02,3.33E+00
-1.57E-02,2.44E-02,3.33E+00
-1.54E-02,2.44E-02,3.33E+00
-1.51E-02,2.56E-02,3.33E+00
-1.49E-02,2.32E-02,3.33E+00
-1.46E-02,2.44E-02,3.33E+00
-1.43E-02,2.56E-02,3.33E+00
-1.40E-02,2.44E-02,3.33E+00
-1.38E-02,2.56E-02,3.33E+00
-1.35E-02,2.69E-02,3.33E+00
-1.32E-02,2.69E-02,3.33E+00
-1.29E-02,2.56E-02,3.33E+00
-1.27E-02,2.56E-02,3.33E+00
-1.24E-02,2.32E-02,1.67E+00
-1.21E-02,2.20E-02,2.32E-02
-1.18E-02,2.32E-02,2.08E-02
-1.16E-02,2.32E-02,1.71E-02
-1.13E-02,2.44E-02,1.95E-02
-1.10E-02,2.44E-02,1.95E-02
-1.07E-02,2.32E-02,1.95E-02
-1.05E-02,2.32E-02,2.08E-02
-1.02E-02,2.32E-02,1.95E-02
-9.91E-03,2.44E-02,2.08E-02
-9.64E-03,2.32E-02,2.08E-02
-9.36E-03,2.20E-02,2.44E-02
-9.09E-03,2.08E-02,1.95E-02
-8.81E-03,2.20E-02,1.59E-02
-8.54E-03,2.32E-02,1.95E-02
-8.26E-03,2.32E-02,1.71E-02
-7.99E-03,2.32E-02,1.83E-02
-7.71E-03,2.32E-02,2.32E-02
-7.44E-03,2.44E-02,2.08E-02
-7.16E-03,2.32E-02,1.95E-02
-6.89E-03,2.32E-02,2.08E-02
-6.61E-03,2.32E-02,1.95E-02
-6.33E-03,2.32E-02,2.20E-02
-6.06E-03,2.20E-02,1.95E-02
-5.78E-03,2.32E-02,2.08E-02
-5.51E-03,2.44E-02,2.08E-02
-5.23E-03,2.44E-02,1.95E-02
-4.96E-03,2.32E-02,2.08E-02
-4.68E-03,2.44E-02,2.08E-02
-4.41E-03,2.32E-02,2.08E-02
-4.13E-03,2.20E-02,2.08E-02
-3.86E-03,2.32E-02,1.71E-02
-3.58E-03,2.32E-02,2.44E-02
-3.30E-03,2.20E-02,1.83E-02
-3.03E-03,2.32E-02,2.08E-02
-2.75E-03,2.20E-02,1.95E-02
